model,run_id,tasks,context_mode,backend,image,container,api_base,started_at,exit_code,container_status,container_exists,output_dir_exists,has_report,has_openhands_state,has_openhands_events,max_iterations,max_agent_hours,elapsed_seconds,cache_prompt_enabled,prompt_cache_retention,report_task_count,expected_task_count,error,task0,task0_passed,task1,task1_passed,task2,task2_passed,task3,task3_passed,task4,task4_passed,task5,task5_passed,pipeline_score,mean_reward,pass_score,prior_non_full_score_count,zero_shot_pass,agent_llm_rounds_source,run_agent_llm_rounds,task0_agent_llm_rounds,task1_agent_llm_rounds,task2_agent_llm_rounds,task3_agent_llm_rounds,task4_agent_llm_rounds,task5_agent_llm_rounds,llm_metrics_source,llm_tokens_logged,run_llm_cost_usd,run_llm_prompt_tokens,run_llm_completion_tokens,run_llm_reasoning_tokens,run_llm_cache_read_tokens,run_llm_cache_write_tokens,run_llm_total_tokens,task0_llm_total_tokens,task0_llm_cost_usd,task1_llm_total_tokens,task1_llm_cost_usd,task2_llm_total_tokens,task2_llm_cost_usd,task3_llm_total_tokens,task3_llm_cost_usd,task4_llm_total_tokens,task4_llm_cost_usd,task5_llm_total_tokens,task5_llm_cost_usd,cache_hit,cache_hit_tokens,cache_write_tokens,successful_llm_calls,failed_llm_calls,remaining_iterations,remaining_wall_seconds,openhands_execution_status,last_error_code,last_error_kind,last_error_detail,interrupted_by_user,missing_outputs,termination_status,termination_reason,termination_detail
qwen3.5-plus,engineer-openhand-500-openhands-qwen3.5-plus-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-qwen3.5-plus-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T16:04:57Z,0,exited,True,True,True,True,True,500,5,2102.58,1,24h,6,6,,100.0,True,100.0,True,0.0,False,0.0,False,38.04,False,0.0,False,39.67,29.63,33.33,3,False,jsonl,195,67,47,21,47,5,8,base_state,True,14.365355,25125293,59200,956,1584075,0,26769524,,,,,,,,,,,,,True,1584075,0,195,0,305,15897.42,finished,,,,False,,success_model_finished,模型主动结束,
glm-5.1,engineer-openhand-500-glm-5.1-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-glm-5.1-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T09:12:03Z,0,exited,True,True,True,True,True,500,5,4442.0,1,24h,6,6,"ConversationRunError: Conversation run failed for id=90da4c7c-214a-4b04-831f-dddb51f564e6: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - Range of input length should be [1, 202745]. Received Model Group=glm-5.1
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/90da4c7c214a4b04831fdddb51f564e6

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,0.0,False,97.66,True,0.0,False,36.62,False,0.0,False,39.05,27.26,27.78,4,False,jsonl,233,14,92,100,27,,,base_state,True,2.02643,22097316,73077,1188,20750208,0,42921789,,,,,,,,,,,,,True,20750208,0,233,3,267,13558.0,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - Range of input length should be [1, 202745]. Received Model Group=glm-5.1
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - Range of input length should be [1, 202745]. Received Model Group=glm-5.1
Available Model Group Fallbacks=None"
glm-4.7,engineer-openhand-500-glm-4.7-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-glm-4.7-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T10:25:50Z,0,exited,True,True,True,True,True,500,5,2428.31,1,24h,6,6,"ConversationRunError: Conversation run failed for id=14b715db-6193-4050-8f99-5bfe52d39c78: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 169984]. Received Model Group=glm-4.7
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/14b715db619340508f995bfe52d39c78

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,94.82,True,0.0,False,1.37,False,36.17,False,0.0,False,38.73,29.5,33.33,4,False,jsonl,272,259,13,,,,,base_state,True,0.802538,25001377,82653,26275,23829120,0,48939425,,,,,,,,,,,,,True,23829120,0,272,5,228,15571.69,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 169984]. Received Model Group=glm-4.7
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 169984]. Received Model Group=glm-4.7
Available Model Group Fallbacks=None"
gemini-3.1-flash-lite-preview,engineer-openhand-500-openhands-gemini-3.1-flash-lite-preview-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-gemini-3.1-flash-lite-preview-tasks-0-5,https://api.duckcoding.ai/v1,2026-05-18T13:09:35Z,0,exited,True,True,True,True,True,500,5,595.21,1,24h,6,6,,100.0,True,57.17,False,20.55,False,1.37,False,36.7,False,0.0,False,35.96,26.44,16.67,4,False,jsonl,44,4,25,3,3,3,6,base_state,True,,1936990,15340,2,1553357,0,3505689,,,,,,,,,,,,,True,1553357,0,44,0,456,17404.79,finished,,,,False,,success_model_finished,模型主动结束,
qwen3-coder-flash,engineer-openhand-500-qwen3-coder-flash-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-qwen3-coder-flash-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T10:15:32Z,0,exited,True,True,True,True,True,500,5,608.36,1,24h,6,6,,100.0,True,56.02,False,20.55,False,1.37,False,35.14,False,0.0,False,35.51,25.97,16.67,4,False,jsonl,69,13,34,4,4,7,7,base_state,True,0.04689,1961102,7945,0,1508096,0,3477143,,,,,,,,,,,,,True,1508096,0,69,0,431,17391.64,finished,,,,False,,success_model_finished,模型主动结束,
minimax-m2.5,engineer-openhand-500-minimax-m2.5-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-minimax-m2.5-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T10:26:09Z,0,exited,True,True,True,True,True,500,5,3940.62,1,24h,6,6,"ConversationRunError: Conversation run failed for id=8b502db3-87fb-4c95-868e-db9882efde6d: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 196601]. Received Model Group=minimax-m2.5
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/8b502db387fb4c95868edb9882efde6d

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,64.22,True,0.0,False,2.74,False,36.37,False,0.0,False,33.89,25.09,33.33,4,False,jsonl,456,187,140,8,120,1,,base_state,True,0.169645,53474687,77177,19441,53115008,0,106686313,,,,,,,,,,,,,True,53115008,0,456,2,44,14059.38,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 196601]. Received Model Group=minimax-m2.5
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - <400> InternalError.Algo.InvalidParameter: Range of input length should be [1, 196601]. Received Model Group=minimax-m2.5
Available Model Group Fallbacks=None"
kimi-k2-thinking,engineer-500-v2-openhands-kimi-k2-thinking-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-500-v2-openhands-kimi-k2-thinking-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-18T16:42:04Z,0,exited,True,True,True,True,True,500,5,3038.12,1,24h,6,6,,100.0,True,26.74,False,20.55,False,1.37,False,36.81,False,0.0,False,30.91,21.78,16.67,4,False,jsonl,500,67,433,,,,,base_state,True,0.338863,20084518,89496,81128,19551616,0,39806758,,,,,,,,,,,,,True,19551616,0,500,1,0,14961.88,error,MaxIterationsReached,ConversationErrorEvent,Agent reached maximum iterations limit (433).,False,,error_container_exit,OpenHands 会话错误结束,Agent reached maximum iterations limit (433).
gemini-3.1-pro-preview,engineer-openhand-500-openhands-gemini-3.1-pro-preview-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-gemini-3.1-pro-preview-tasks-0-5,https://api.duckcoding.ai/v1,2026-05-18T13:09:35Z,0,exited,True,True,True,True,True,500,5,4593.88,1,24h,6,6,"ConversationRunError: Conversation run failed for id=73208318-ed4d-4df0-a293-57a46fb0134e: litellm.RateLimitError: RateLimitError: OpenAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""You have exhausted your capacity on this model."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""***.***.com/***.***.ErrorInfo"",
        ""reason"": ""RATE_LIMIT_EXCEEDED"",
        ""domain"": ""***.***.com"",
        ""metadata"": {
          ""uiMessage"": ""true"",
          ""model"": ""gemini-3.1-pro-preview"",
          ""quotaResetDelay"": ""0s""
        }
      },
      {
        ""@type"": ""***.***.com/***.***.RetryInfo"",
        ""retryDelay"": ""0s""
      }
    ]
  }
}
（traceid: 585dbf97fcaeb01834bd2c4872c9324c）

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/73208318ed4d4df0a29357a46fb0134e

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,17.64,False,20.55,False,1.37,False,42.39,False,0.0,False,30.32,21.46,16.67,4,False,jsonl,45,2,4,1,3,35,,base_state,True,,2142041,10096,680,1649655,0,3802472,,,,,,,,,,,,,True,1649655,0,45,5,455,13406.12,error,LLMRateLimitError,ConversationErrorEvent,"litellm.RateLimitError: RateLimitError: OpenAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""You have exhausted your capacity on this model."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""***.***.com/***.***.ErrorInfo"",
        ""reason"": ""RATE_LIMIT_EXCEEDED"",
        ""domain"": ""***.***.com"",
        ""metadata"": {
          ""uiMessage"": ""true"",
          ""model"": ""gemini-3.1-pro-preview"",
          ""quotaResetDelay"": ""0s""
        }
      },
      {
        ""@type"": ""***.***.com/***.***.RetryInfo"",
        ""retryDelay"": ""0s""
      }
    ]
  }
}
（traceid: 585dbf97fcaeb01834bd2c4872c9324c）",False,,error_llm_rate_limit,LLM 触发限流,"litellm.RateLimitError: RateLimitError: OpenAIException - {
  ""error"": {
    ""code"": 429,
    ""message"": ""You have exhausted your capacity on this model."",
    ""status"": ""RESOURCE_EXHAUSTED"",
    ""details"": [
      {
        ""@type"": ""***.***.com/***.***.ErrorInfo"",
        ""reason"": ""RATE_LIMIT_EXCEEDED"",
        ""domain"": ""***.***.com"",
        ""metadata"": {
          ""uiMessage"": ""true"",
          ""model"": ""gemini-3.1-pro-preview"",
          ""quotaResetDelay"": ""0s""
        }
      },
      {
"
qwen3-max,engineer-openhand-500-openhands-qwen3-max-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-openhands-qwen3-max-tasks-0-5,https://dashscope.aliyuncs.com/compatible-mode/v1,2026-05-18T13:09:34Z,0,exited,True,True,True,True,True,500,5,691.2,1,24h,6,6,,100.0,True,17.64,False,20.55,False,1.37,False,36.67,False,0.0,False,29.37,20.36,16.67,4,False,jsonl,42,12,12,2,4,9,3,base_state,True,,884787,10789,0,343620,0,1239196,,,,,,,,,,,,,True,343620,0,42,0,458,17308.8,finished,,,,False,,success_model_finished,模型主动结束,
qwen3-coder-plus,engineer-500-v2-openhands-qwen3-coder-plus-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-500-v2-openhands-qwen3-coder-plus-tasks-0-5,https://dashscope.aliyuncs.com/compatible-mode/v1,2026-05-18T15:39:48Z,0,exited,True,True,True,True,True,500,5,2235.79,1,24h,6,6,,100.0,True,17.64,False,20.55,False,1.37,False,35.94,False,0.0,False,29.25,20.22,16.67,4,False,jsonl,500,4,496,,,,,base_state,True,,25081581,34568,0,24981304,0,50097453,,,,,,,,,,,,,True,24981304,0,500,0,0,15764.21,finished,,,,False,,success_model_finished,模型主动结束,
mimo-v2.5-pro,engineer-openhand-500-mimo-v2.5-pro-tasks-0-5,0-5,pipeline,openhands,evobench-openhands:bachelor,oh-engineer-openhand-500-mimo-v2.5-pro-tasks-0-5,https://aihub.arcsysu.cn/v1,2026-05-17T09:12:04Z,0,exited,True,True,True,True,True,500,5,315.57,1,24h,6,6,"ConversationRunError: Conversation run failed for id=f79584de-8759-4b9b-8771-15164b4203c4: litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - Param Incorrect. Received Model Group=mimo-v2.5-pro
Available Model Group Fallbacks=None

Conversation logs are stored at: /workspace/output/openhands-state/pipeline/f79584de87594b9b877115164b4203c4

To help debug this issue, please file a bug report at:
  https://github.com/OpenHands/software-agent-sdk/issues/new
and attach the conversation logs from the directory above.",100.0,True,17.64,False,20.55,False,1.37,False,35.77,False,0.0,False,29.22,20.18,16.67,4,False,jsonl,1,1,,,,,,base_state,True,0.017098,8831,115,62,512,0,9520,,,,,,,,,,,,,True,512,0,1,6,499,17684.43,error,LLMBadRequestError,ConversationErrorEvent,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - Param Incorrect. Received Model Group=mimo-v2.5-pro
Available Model Group Fallbacks=None",False,,error_llm_bad_request,LLM 请求被服务端拒绝,"litellm.BadRequestError: OpenAIException - litellm.BadRequestError: OpenAIException - Param Incorrect. Received Model Group=mimo-v2.5-pro
Available Model Group Fallbacks=None"
